local_path,package,hash
R/ancova.qmd,knitr,9fcb189926d93c636dea94fbe4f44480
R/ancova.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
R/ancova.qmd,rstatix,5045fbb71b143878d8c51975d1d7d56d
R/ancova.qmd,sasLM,2f8e8e88b3267f0d61319e77876eaf90
R/ancova.qmd,sessioninfo,3f9796a8d0a0e8c6eb49a4b029359d1f
R/ancova.qmd,stats,4.3.2
R/ancova.qmd,tibble,a84e2cc86d07289b3b6f5069df7a004c
R/anova.qmd,broom,8fcc818f3b9887aebaf206f141437cc9
R/anova.qmd,car,82067bf302d1440b730437693a86406a
R/anova.qmd,emmeans,6b0c6fcbdbefe525d2ee713f95880f90
R/anova.qmd,knitr,9fcb189926d93c636dea94fbe4f44480
R/anova.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
R/anova.qmd,rstatix,5045fbb71b143878d8c51975d1d7d56d
R/anova.qmd,stats,4.3.2
R/anova.qmd,tidyverse,c328568cd14ea89a83bd4ca7f54ae07e
R/association.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
R/association.qmd,survival,fe42836742a4f065b3f3f5de81fccab9
R/association.qmd,tidyverse,c328568cd14ea89a83bd4ca7f54ae07e
R/binomial_test.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
R/binomial_test.qmd,stats,4.3.2
R/binomial_test.qmd,survival,fe42836742a4f065b3f3f5de81fccab9
R/causal_ps_matching.qmd,MatchIt,4.3.2
R/causal_ps_matching.qmd,dplyr,fedd9d00c2944ff00a0e2696ccf048ec
R/causal_ps_matching.qmd,optmatch,4.3.2
R/causal_ps_matching.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
R/ci_for_prop.qmd,DescTools,22a99741fe397d2102777b56b92891f4
R/ci_for_prop.qmd,cardx,4.3.2
R/ci_for_prop.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
R/ci_for_prop.qmd,tidyverse,c328568cd14ea89a83bd4ca7f54ae07e
R/cmh.qmd,DescTools,22a99741fe397d2102777b56b92891f4
R/cmh.qmd,dplyr,fedd9d00c2944ff00a0e2696ccf048ec
R/cmh.qmd,gt,4.3.2
R/cmh.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
R/cmh.qmd,stats,4.3.2
R/cmh.qmd,tibble,a84e2cc86d07289b3b6f5069df7a004c
R/cmh.qmd,vcd,4.3.2
R/cmh.qmd,vcdExtra,4.3.2
R/correlation.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
R/correlation.qmd,stats,4.3.2
R/correlation.qmd,survival,fe42836742a4f065b3f3f5de81fccab9
R/correlation.qmd,tidyverse,c328568cd14ea89a83bd4ca7f54ae07e
R/count_data_regression.qmd,HSAUR2,4.3.2
R/count_data_regression.qmd,MASS,a56a6365b3fa73293ea8d084be0d9bb0
R/count_data_regression.qmd,dplyr,fedd9d00c2944ff00a0e2696ccf048ec
R/count_data_regression.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
R/count_data_regression.qmd,stats,4.3.2
R/count_data_regression.qmd,tidyverse,c328568cd14ea89a83bd4ca7f54ae07e
R/friedman_test.qmd,broom,8fcc818f3b9887aebaf206f141437cc9
R/friedman_test.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
R/friedman_test.qmd,rstatix,5045fbb71b143878d8c51975d1d7d56d
R/friedman_test.qmd,sessioninfo,3f9796a8d0a0e8c6eb49a4b029359d1f
R/friedman_test.qmd,stats,4.3.2
R/friedman_test.qmd,tidyverse,c328568cd14ea89a83bd4ca7f54ae07e
R/gee.qmd,contrast,2c9b9d83e7932e1b1a37cb849e98b3eb
R/gee.qmd,emmeans,6b0c6fcbdbefe525d2ee713f95880f90
R/gee.qmd,gee,6633962fa53cc9ff2c1aec45612ff9fc
R/gee.qmd,geepack,52e17b9435f558bd15c764d1182371d6
R/gee.qmd,multgee,4.3.2
R/gee.qmd,readxl,8cf9c239b96df1bbb133b74aef77ad0a
R/gee.qmd,rmarkdown,df99277f63d01c34e95e3d2f06a79736
